Date,Open,High,Low,Close,per_change,Qty,Turnover,EPS,PE
2/20/2025,384.50,384.50,373.60,374.50,-0.66,42089.00,15847811.60,2.04,183.58
2/18/2025,389.00,389.60,375.00,377.00,-1.31,74518.00,28374584.90,2.04,184.80
2/17/2025,371.00,386.90,370.70,382.00,3.05,108899.00,41212054.50,2.04,187.25
2/16/2025,367.00,370.90,365.00,370.70,2.12,70533.00,26014490.40,2.04,181.72
2/13/2025,360.00,366.00,360.00,363.00,-0.03,47627.00,17318839.00,2.04,177.94
2/12/2025,365.00,370.00,360.00,363.10,-0.25,47038.00,17147454.50,2.04,177.99
2/11/2025,367.00,370.00,361.00,364.00,-0.03,48342.00,17610510.40,2.04,178.43
2/10/2025,369.90,369.90,363.20,364.10,-0.52,28859.00,10533106.80,2.04,178.48
2/9/2025,358.60,370.00,358.60,366.00,0.03,55880.00,20503353.50,2.04,179.41
2/6/2025,363.00,368.00,359.00,365.90,0.25,73453.00,26881083.30,2.04,179.36
2/5/2025,366.00,370.10,363.00,365.00,-1.16,50984.00,18697457.00,2.04,178.92
2/4/2025,379.00,379.00,367.00,369.30,-0.73,54568.00,20261319.40,2.04,181.03
2/3/2025,369.20,385.50,369.00,372.00,1.36,147482.00,55551307.30,2.04,182.35
2/2/2025,355.00,367.00,355.00,367.00,2.80,81796.00,29683622.20,2.04,179.90
1/28/2025,353.00,362.00,350.00,357.00,1.13,104728.00,37397715.60,2.04,175.00
1/27/2025,362.80,362.80,351.00,353.00,-0.98,95052.00,33567863.70,2.04,173.04
1/26/2025,362.10,364.90,356.00,356.50,-2.60,87702.00,31524673.60,2.04,174.75
1/23/2025,369.00,371.80,364.30,366.00,-1.03,59766.00,21896885.10,2.04,179.41
1/22/2025,359.00,370.00,355.00,369.80,3.01,137664.00,49669715.40,2.04,181.27
1/21/2025,357.00,361.00,354.00,359.00,0.42,85995.00,30732031.10,2.04,175.98
1/20/2025,362.00,363.60,351.60,357.50,-2.32,187054.00,66767422.90,2.04,175.25
1/19/2025,365.10,370.00,361.60,366.00,-0.79,83984.00,30679994.80,2.04,179.41
1/16/2025,375.20,377.80,368.00,368.90,-2.36,67591.00,25110905.70,2.04,180.83
1/15/2025,370.10,384.00,370.10,377.80,0.05,51468.00,19446913.70,2.04,185.20
1/13/2025,388.60,388.60,377.50,377.60,-0.89,84072.00,31908096.20,2.91,129.76
1/12/2025,385.00,385.20,381.00,381.00,-0.63,36094.00,13812729.10,2.91,130.93
1/9/2025,386.00,388.00,381.00,383.40,-0.93,78694.00,30206337.50,2.91,131.75
1/8/2025,393.50,393.50,383.00,387.00,-0.21,45107.00,17419527.10,2.91,132.99
1/7/2025,395.70,395.70,384.00,387.80,-0.05,59219.00,22908320.50,2.91,133.26
1/6/2025,388.00,390.00,382.10,388.00,1.04,78034.00,30121853.60,2.91,133.33
1/5/2025,385.00,389.70,382.70,384.00,-0.75,88991.00,34166948.70,2.91,131.96
1/2/2025,390.00,390.00,377.40,386.90,0.86,58340.00,22439781.80,2.91,132.96
1/1/2025,377.30,388.00,377.30,383.60,-0.36,43278.00,16613575.40,2.91,131.82
12/31/2024,383.20,395.00,376.60,385.00,-1.53,132291.00,50756067.00,2.91,132.30
12/29/2024,400.00,404.70,391.00,391.00,-2.98,70534.00,27876541.80,2.91,134.36
12/26/2024,388.10,409.90,388.00,403.00,1.77,92340.00,36962239.40,2.91,138.49
12/24/2024,395.00,398.00,390.00,396.00,1.85,51143.00,20205178.70,2.91,136.08
12/23/2024,382.20,391.00,382.20,388.80,-0.31,82637.00,32024251.60,2.91,133.61
12/22/2024,392.90,400.60,387.10,390.00,-0.74,73760.00,28751184.00,2.91,134.02
12/19/2024,384.20,395.10,384.20,392.90,0.23,73620.00,28901909.40,2.91,135.02
12/18/2024,389.10,412.00,389.10,392.00,-1.26,83131.00,32775891.20,2.91,134.71
12/17/2024,396.00,399.90,395.50,397.00,-0.30,80508.00,32015293.70,2.91,136.43
12/16/2024,403.00,403.00,395.00,398.20,-1.19,113101.00,45028844.10,2.91,136.84
12/12/2024,423.30,423.30,402.80,403.00,-2.89,84801.00,34642192.00,2.91,138.49
12/11/2024,404.00,415.00,397.00,415.00,2.47,150942.00,60777882.10,2.91,142.61
12/10/2024,396.90,411.00,396.90,405.00,0.00,58539.00,23694809.20,2.91,139.18
12/9/2024,396.90,411.40,396.90,405.00,0.00,66907.00,27135316.00,2.91,139.18
12/8/2024,409.90,414.90,400.10,405.00,-1.20,159922.00,64577191.50,2.91,139.18
12/5/2024,406.90,415.00,406.00,409.90,-1.28,155704.00,63754717.80,2.91,140.86
12/4/2024,420.00,425.00,415.00,415.20,-1.10,143772.00,60079128.40,2.91,142.68
12/3/2024,436.00,436.00,417.00,419.80,-1.89,410484.00,172511347.90,2.91,144.26
12/2/2024,430.00,430.00,425.00,427.90,-0.21,181491.00,77567724.10,2.91,147.04
12/1/2024,444.00,444.00,427.20,428.80,-1.49,126527.00,54336790.10,2.91,147.35
11/28/2024,437.00,437.90,430.00,435.30,-0.37,81755.00,35574057.30,2.91,149.59
11/27/2024,435.00,438.80,431.60,436.90,0.55,77997.00,33877361.50,2.91,150.14
11/26/2024,431.00,435.70,425.10,434.50,2.24,114088.00,48908653.00,2.91,149.31
11/25/2024,435.50,435.50,422.10,425.00,-0.47,108838.00,46178968.10,2.91,146.05
11/24/2024,430.00,430.00,423.00,427.00,0.16,112104.00,47548945.20,2.91,146.74
11/21/2024,431.00,433.00,426.00,426.30,-0.84,111250.00,47655052.80,2.91,146.49
11/20/2024,439.80,439.80,428.00,429.90,-0.30,116555.00,50011496.10,2.91,147.73
11/19/2024,442.00,442.00,429.10,431.20,-2.07,230820.00,99858868.40,2.91,148.18
11/17/2024,445.50,447.00,440.00,440.30,-1.08,164538.00,72738307.20,2.91,151.31
11/14/2024,450.10,453.00,443.30,445.10,-1.46,124178.00,55402034.90,2.91,152.96
11/13/2024,464.10,464.10,448.00,451.70,-1.16,70413.00,31867704.80,2.91,155.22
11/12/2024,463.00,463.00,450.00,457.00,0.66,98128.00,44800783.00,2.91,157.04
11/11/2024,458.00,462.10,450.00,454.00,0.93,159935.00,72757931.20,2.91,156.01
11/10/2024,448.00,449.80,442.10,449.80,2.23,82617.00,36815029.40,2.91,154.57
11/6/2024,445.00,447.00,439.00,440.00,-0.90,63545.00,28083991.40,2.91,151.20
11/5/2024,440.30,455.80,440.00,444.00,-0.40,51361.00,22962464.40,2.91,152.58
10/30/2024,450.00,454.00,443.10,445.80,-1.13,77838.00,34838568.80,2.91,153.20
10/29/2024,445.00,452.00,445.00,450.90,1.78,65634.00,29500622.40,2.91,154.95
10/28/2024,452.00,452.00,441.00,443.00,-0.23,59809.00,26572257.40,2.91,152.23
10/27/2024,443.00,446.00,437.00,444.00,0.23,55784.00,24654312.40,2.91,152.58
10/24/2024,450.00,455.00,439.00,443.00,-1.99,104890.00,46521225.20,2.91,152.23
10/23/2024,460.00,460.00,450.00,452.00,-2.80,182640.00,82721217.30,2.91,155.33
10/22/2024,475.00,476.00,459.50,465.00,-0.90,104000.00,48395845.70,2.91,159.79
10/21/2024,472.00,480.00,468.40,469.20,-2.25,70285.00,33198853.90,2.91,161.24
10/20/2024,484.00,495.00,479.10,480.00,-2.64,187805.00,90783664.40,2.91,164.95
10/17/2024,498.00,505.00,493.00,493.00,-1.14,80563.00,40014898.30,2.91,169.42
