S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1000,2020-12-02,1120.00,1147.00,1096.00,1125.00,0.54,205216.00,231653897.00
999,2020-12-03,1106.00,1196.00,1106.00,1140.00,1.33,159437.00,182433622.00
998,2020-12-06,1123.00,1145.00,1078.00,1078.00,-5.44,161986.00,179567029.00
997,2020-12-07,1070.00,1147.00,1057.00,1118.00,3.71,164879.00,180793589.00
996,2020-12-08,1140.00,1162.00,1115.00,1124.00,0.54,113499.00,128368960.00
995,2020-12-09,1125.00,1135.00,1095.00,1101.00,-2.05,77270.00,85573625.00
994,2020-12-10,1115.00,1127.00,1094.00,1120.00,1.73,86977.00,96928167.00
993,2020-12-13,1064.00,1165.00,1064.00,1159.00,3.48,110589.00,126540741.00
992,2020-12-14,1172.00,1248.00,1160.00,1227.00,5.87,273113.00,327906859.00
991,2020-12-15,1210.00,1293.00,1202.00,1240.00,1.06,161533.00,200111684.00
990,2020-12-16,1240.00,1254.00,1200.00,1248.00,0.65,149009.00,184859975.00
989,2020-12-17,1250.00,1255.00,1228.00,1235.00,-1.04,101916.00,126238866.00
988,2020-12-20,1240.00,1246.00,1175.00,1207.00,-2.27,323547.00,392321090.00
987,2020-12-21,1180.00,1236.00,1160.00,1231.00,1.99,263971.00,317629142.00
986,2020-12-22,1292.00,1354.00,1292.00,1354.00,9.99,48213.00,65191252.00
985,2020-12-23,1400.00,1489.00,1400.00,1489.00,9.97,187508.00,279179932.00
984,2020-12-24,1550.00,1550.00,1403.00,1425.00,-4.3,425873.00,614965941.00
983,2020-12-27,1425.00,1450.00,1381.00,1384.00,-2.88,290409.00,404921356.00
982,2020-12-28,1380.00,1395.00,1360.00,1379.00,-0.36,176237.00,243416028.00
981,2020-12-29,1380.00,1400.00,1380.00,1386.00,0.51,381895.00,530177990.00
980,2020-12-30,1080.00,1108.00,1048.00,1101.00,6.07,240703.00,261693768.00
979,2020-12-31,1110.00,1130.00,1100.00,1100.00,-0.09,126022.00,140476169.00
978,2021-01-03,1100.00,1130.00,1080.00,1125.00,2.27,152668.00,168109683.00
977,2021-01-04,1135.00,1136.00,1102.00,1111.00,-1.24,91228.00,102321107.00
976,2021-01-05,1111.00,1118.00,1095.00,1097.00,-1.26,90991.00,100390256.00
975,2021-01-06,1097.00,1104.00,1086.00,1096.00,-0.09,76530.00,83523572.00
974,2021-01-07,1042.00,1112.00,1042.00,1091.00,-0.46,77627.00,84901592.00
973,2021-01-10,1095.00,1134.00,1095.00,1126.00,3.21,182457.00,203939412.00
972,2021-01-11,1182.00,1182.00,1120.00,1125.00,-0.09,67113.00,76129051.00
971,2021-01-12,1081.00,1150.00,1081.00,1140.00,1.33,78962.00,89886785.00
970,2021-01-13,1130.00,1147.00,1130.00,1132.00,-0.7,48737.00,55436935.00
969,2021-01-17,1140.00,1140.00,1117.00,1128.00,-0.35,54196.00,61044047.00
968,2021-01-18,1180.00,1180.00,1115.00,1128.00,0.0,79293.00,89260230.00
967,2021-01-19,1180.00,1180.00,1112.00,1117.00,-0.98,65561.00,73337832.00
966,2021-01-20,1172.00,1172.00,1100.00,1103.00,-1.25,85123.00,94216582.00
965,2021-01-21,1100.00,1110.00,1095.00,1109.00,0.54,108401.00,119452296.00
964,2021-01-24,1120.00,1139.00,1109.00,1115.00,0.54,128981.00,144104020.00
963,2021-01-25,1115.00,1205.00,1110.00,1176.00,5.47,287254.00,331703579.00
962,2021-01-26,1190.00,1194.00,1165.00,1168.00,-0.68,133717.00,157180837.00
961,2021-01-27,1126.00,1186.00,1126.00,1182.00,1.2,97355.00,114486768.00
960,2021-01-28,1182.00,1182.00,1129.00,1145.00,-3.13,143020.00,164846274.00
959,2021-01-31,1088.00,1145.00,1088.00,1110.00,-3.06,114576.00,128054421.00
958,2021-02-01,1065.00,1151.00,1065.00,1120.00,0.9,60104.00,67372643.00
957,2021-02-02,1130.00,1140.00,1120.00,1129.00,0.8,79207.00,88916489.00
956,2021-02-03,1150.00,1160.00,1110.00,1120.00,-0.8,110383.00,123939445.00
955,2021-02-04,1150.00,1150.00,1111.00,1116.00,-0.36,82322.00,91872735.00
954,2021-02-07,1116.00,1125.00,1111.00,1114.00,-0.18,121996.00,136104553.00
953,2021-02-08,1130.00,1180.00,1115.00,1165.00,4.58,292168.00,334434597.00
952,2021-02-09,1107.00,1197.00,1107.00,1160.00,-0.43,181209.00,212784832.00
951,2021-02-10,1160.00,1189.00,1152.00,1176.00,1.38,130150.00,152696882.00
950,2021-02-11,1180.00,1250.00,1170.00,1213.00,3.15,317291.00,384054454.00
949,2021-02-14,1230.00,1242.00,1200.00,1221.00,0.66,168891.00,205591981.00
948,2021-02-15,1230.00,1328.00,1230.00,1321.00,8.19,524258.00,680516471.00
947,2021-02-16,1330.00,1386.00,1324.00,1365.00,3.33,399457.00,544456014.00
946,2021-02-17,1433.00,1433.00,1350.00,1391.00,1.9,295552.00,411625285.00
945,2021-02-18,1400.00,1405.00,1358.00,1367.00,-1.73,188406.00,260218114.00
944,2021-02-21,1435.00,1435.00,1335.00,1355.00,-0.88,186705.00,253188354.00
943,2021-02-22,1360.00,1360.00,1319.00,1319.00,-2.66,182067.00,242645153.00
942,2021-02-23,1300.00,1344.00,1286.00,1335.00,1.21,285817.00,373558967.00
941,2021-02-24,1350.00,1375.00,1330.00,1350.00,1.12,143200.00,193023822.00
