S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
150,2024-07-03,272.0,274.9,262.0,271.0,-0.37,"41,796.00","11,197,687.80"
149,2024-07-04,270.0,275.0,267.1,272.9,0.7,"86,098.00","23,340,200.90"
148,2024-07-07,271.0,283.0,271.0,281.1,3.0,"106,759.00","29,570,800.60"
147,2024-07-08,282.0,286.4,279.4,280.5,-0.21,"49,865.00","14,044,240.70"
146,2024-07-09,286.1,287.5,278.0,285.2,1.68,"274,360.00","78,261,794.40"
145,2024-07-10,283.0,288.0,282.0,286.5,0.46,"42,559.00","12,128,099.30"
144,2024-07-11,288.1,291.8,286.0,291.0,1.57,"139,159.00","40,177,460.20"
143,2024-07-14,296.8,308.0,294.0,298.5,2.58,"113,142.00","33,735,563.70"
142,2024-07-15,304.4,308.0,290.2,294.0,-1.51,"115,912.00","34,259,252.80"
141,2024-07-16,299.0,320.0,288.8,310.0,5.44,"270,358.00","80,587,886.30"
140,2024-07-17,316.2,316.2,305.0,314.0,1.29,"147,540.00","45,815,225.80"
139,2024-07-18,314.1,340.0,309.0,331.8,5.67,"213,901.00","69,657,317.30"
138,2024-07-21,332.0,340.0,321.6,335.0,0.96,"304,300.00","101,808,123.40"
137,2024-07-22,335.0,335.0,323.4,330.0,-1.49,"151,988.00","50,039,806.40"
136,2024-07-23,330.0,350.0,324.0,343.5,4.09,"237,532.00","80,016,071.50"
135,2024-07-24,343.0,347.0,337.2,341.5,-0.58,"194,863.00","66,541,531.30"
134,2024-07-25,337.5,354.0,337.0,352.0,3.07,"222,739.00","77,525,495.90"
133,2024-07-28,359.0,387.2,359.0,387.2,10.0,"671,424.00","255,583,871.90"
132,2024-07-29,394.9,400.0,374.0,377.0,-2.63,"296,529.00","113,744,206.10"
131,2024-07-30,384.5,384.5,362.0,377.0,0.0,"230,971.00","85,649,042.00"
130,2024-07-31,373.0,384.9,370.1,376.4,-0.16,"287,817.00","109,362,943.20"
129,2024-08-01,383.0,383.0,369.5,369.8,-1.75,"302,530.00","112,890,009.80"
128,2024-08-05,377.1,400.0,377.1,386.0,4.38,"622,697.00","241,206,158.60"
127,2024-08-06,393.0,393.0,372.0,372.1,-3.6,"338,449.00","129,531,986.70"
126,2024-08-07,372.1,380.4,367.0,378.0,1.59,"181,152.00","68,040,499.90"
125,2024-08-08,380.0,384.9,375.0,375.1,-0.77,"134,799.00","50,962,171.50"
124,2024-08-11,379.0,384.9,376.0,383.9,2.35,"303,869.00","115,793,416.40"
123,2024-08-12,383.9,392.5,383.1,392.0,2.11,"283,100.00","110,126,483.80"
122,2024-08-13,394.0,405.0,393.0,400.0,2.04,"357,409.00","142,668,050.90"
121,2024-08-14,402.0,406.0,396.0,402.1,0.53,"259,891.00","104,298,550.20"
120,2024-08-15,405.0,423.1,400.0,419.0,4.2,"511,952.00","213,614,740.50"
119,2024-08-18,427.3,428.4,407.0,410.0,-2.15,"573,837.00","239,581,433.00"
118,2024-08-21,412.0,417.0,406.0,414.9,1.2,"272,796.00","112,194,875.10"
117,2024-08-22,411.0,420.2,410.3,411.0,-0.94,"184,187.00","76,391,676.00"
116,2024-08-25,402.8,415.0,398.2,399.0,-2.92,"280,315.00","112,712,398.50"
115,2024-08-27,397.0,397.0,379.0,382.0,-4.26,"316,327.00","122,150,553.40"
114,2024-08-28,382.0,394.9,378.0,382.5,0.13,"173,834.00","67,225,870.20"
113,2024-08-29,390.0,390.0,374.0,376.4,-1.59,"171,319.00","64,791,396.00"
112,2024-09-01,380.0,384.5,372.6,373.0,-0.9,"129,467.00","48,842,445.00"
111,2024-09-02,373.0,387.0,371.0,385.0,3.22,"150,424.00","57,302,444.70"
110,2024-09-03,390.0,392.0,379.2,385.2,0.05,"108,022.00","41,601,901.10"
109,2024-09-04,392.9,392.9,375.0,376.8,-2.18,"136,516.00","51,779,018.40"
108,2024-09-05,378.0,378.0,368.0,373.0,-1.01,"96,884.00","36,058,306.80"
107,2024-09-08,378.4,378.4,370.0,373.0,0.0,"100,624.00","37,484,875.10"
106,2024-09-09,368.0,374.5,362.6,362.6,-2.79,"86,782.00","31,794,821.30"
105,2024-09-10,364.0,368.9,358.2,360.0,-0.72,"66,020.00","23,952,823.80"
104,2024-09-11,365.2,365.2,350.0,356.0,-1.11,"88,445.00","31,608,632.10"
103,2024-09-12,363.1,366.4,352.0,365.0,2.53,"61,295.00","22,062,319.00"
102,2024-09-15,371.0,372.3,359.1,360.0,-1.37,"90,671.00","33,196,564.20"
101,2024-09-16,360.0,360.0,349.0,349.1,-3.03,"67,066.00","23,670,900.50"
150,2024-07-03,272.0,274.9,262.0,271.0,-0.37,"41,796.00","11,197,687.80"
149,2024-07-04,270.0,275.0,267.1,272.9,0.7,"86,098.00","23,340,200.90"
148,2024-07-07,271.0,283.0,271.0,281.1,3.0,"106,759.00","29,570,800.60"
147,2024-07-08,282.0,286.4,279.4,280.5,-0.21,"49,865.00","14,044,240.70"
146,2024-07-09,286.1,287.5,278.0,285.2,1.68,"274,360.00","78,261,794.40"
145,2024-07-10,283.0,288.0,282.0,286.5,0.46,"42,559.00","12,128,099.30"
144,2024-07-11,288.1,291.8,286.0,291.0,1.57,"139,159.00","40,177,460.20"
143,2024-07-14,296.8,308.0,294.0,298.5,2.58,"113,142.00","33,735,563.70"
142,2024-07-15,304.4,308.0,290.2,294.0,-1.51,"115,912.00","34,259,252.80"
141,2024-07-16,299.0,320.0,288.8,310.0,5.44,"270,358.00","80,587,886.30"
140,2024-07-17,316.2,316.2,305.0,314.0,1.29,"147,540.00","45,815,225.80"
139,2024-07-18,314.1,340.0,309.0,331.8,5.67,"213,901.00","69,657,317.30"
138,2024-07-21,332.0,340.0,321.6,335.0,0.96,"304,300.00","101,808,123.40"
137,2024-07-22,335.0,335.0,323.4,330.0,-1.49,"151,988.00","50,039,806.40"
136,2024-07-23,330.0,350.0,324.0,343.5,4.09,"237,532.00","80,016,071.50"
135,2024-07-24,343.0,347.0,337.2,341.5,-0.58,"194,863.00","66,541,531.30"
134,2024-07-25,337.5,354.0,337.0,352.0,3.07,"222,739.00","77,525,495.90"
133,2024-07-28,359.0,387.2,359.0,387.2,10.0,"671,424.00","255,583,871.90"
132,2024-07-29,394.9,400.0,374.0,377.0,-2.63,"296,529.00","113,744,206.10"
131,2024-07-30,384.5,384.5,362.0,377.0,0.0,"230,971.00","85,649,042.00"
130,2024-07-31,373.0,384.9,370.1,376.4,-0.16,"287,817.00","109,362,943.20"
129,2024-08-01,383.0,383.0,369.5,369.8,-1.75,"302,530.00","112,890,009.80"
128,2024-08-05,377.1,400.0,377.1,386.0,4.38,"622,697.00","241,206,158.60"
127,2024-08-06,393.0,393.0,372.0,372.1,-3.6,"338,449.00","129,531,986.70"
126,2024-08-07,372.1,380.4,367.0,378.0,1.59,"181,152.00","68,040,499.90"
125,2024-08-08,380.0,384.9,375.0,375.1,-0.77,"134,799.00","50,962,171.50"
124,2024-08-11,379.0,384.9,376.0,383.9,2.35,"303,869.00","115,793,416.40"
123,2024-08-12,383.9,392.5,383.1,392.0,2.11,"283,100.00","110,126,483.80"
122,2024-08-13,394.0,405.0,393.0,400.0,2.04,"357,409.00","142,668,050.90"
121,2024-08-14,402.0,406.0,396.0,402.1,0.53,"259,891.00","104,298,550.20"
120,2024-08-15,405.0,423.1,400.0,419.0,4.2,"511,952.00","213,614,740.50"
119,2024-08-18,427.3,428.4,407.0,410.0,-2.15,"573,837.00","239,581,433.00"
118,2024-08-21,412.0,417.0,406.0,414.9,1.2,"272,796.00","112,194,875.10"
117,2024-08-22,411.0,420.2,410.3,411.0,-0.94,"184,187.00","76,391,676.00"
116,2024-08-25,402.8,415.0,398.2,399.0,-2.92,"280,315.00","112,712,398.50"
115,2024-08-27,397.0,397.0,379.0,382.0,-4.26,"316,327.00","122,150,553.40"
114,2024-08-28,382.0,394.9,378.0,382.5,0.13,"173,834.00","67,225,870.20"
113,2024-08-29,390.0,390.0,374.0,376.4,-1.59,"171,319.00","64,791,396.00"
112,2024-09-01,380.0,384.5,372.6,373.0,-0.9,"129,467.00","48,842,445.00"
111,2024-09-02,373.0,387.0,371.0,385.0,3.22,"150,424.00","57,302,444.70"
110,2024-09-03,390.0,392.0,379.2,385.2,0.05,"108,022.00","41,601,901.10"
109,2024-09-04,392.9,392.9,375.0,376.8,-2.18,"136,516.00","51,779,018.40"
108,2024-09-05,378.0,378.0,368.0,373.0,-1.01,"96,884.00","36,058,306.80"
107,2024-09-08,378.4,378.4,370.0,373.0,0.0,"100,624.00","37,484,875.10"
106,2024-09-09,368.0,374.5,362.6,362.6,-2.79,"86,782.00","31,794,821.30"
105,2024-09-10,364.0,368.9,358.2,360.0,-0.72,"66,020.00","23,952,823.80"
104,2024-09-11,365.2,365.2,350.0,356.0,-1.11,"88,445.00","31,608,632.10"
103,2024-09-12,363.1,366.4,352.0,365.0,2.53,"61,295.00","22,062,319.00"
102,2024-09-15,371.0,372.3,359.1,360.0,-1.37,"90,671.00","33,196,564.20"
101,2024-09-16,360.0,360.0,349.0,349.1,-3.03,"67,066.00","23,670,900.50"
150,2024-07-03,272.0,274.9,262.0,271.0,-0.37,"41,796.00","11,197,687.80"
149,2024-07-04,270.0,275.0,267.1,272.9,0.7,"86,098.00","23,340,200.90"
148,2024-07-07,271.0,283.0,271.0,281.1,3.0,"106,759.00","29,570,800.60"
147,2024-07-08,282.0,286.4,279.4,280.5,-0.21,"49,865.00","14,044,240.70"
146,2024-07-09,286.1,287.5,278.0,285.2,1.68,"274,360.00","78,261,794.40"
145,2024-07-10,283.0,288.0,282.0,286.5,0.46,"42,559.00","12,128,099.30"
144,2024-07-11,288.1,291.8,286.0,291.0,1.57,"139,159.00","40,177,460.20"
143,2024-07-14,296.8,308.0,294.0,298.5,2.58,"113,142.00","33,735,563.70"
142,2024-07-15,304.4,308.0,290.2,294.0,-1.51,"115,912.00","34,259,252.80"
141,2024-07-16,299.0,320.0,288.8,310.0,5.44,"270,358.00","80,587,886.30"
140,2024-07-17,316.2,316.2,305.0,314.0,1.29,"147,540.00","45,815,225.80"
139,2024-07-18,314.1,340.0,309.0,331.8,5.67,"213,901.00","69,657,317.30"
138,2024-07-21,332.0,340.0,321.6,335.0,0.96,"304,300.00","101,808,123.40"
137,2024-07-22,335.0,335.0,323.4,330.0,-1.49,"151,988.00","50,039,806.40"
136,2024-07-23,330.0,350.0,324.0,343.5,4.09,"237,532.00","80,016,071.50"
135,2024-07-24,343.0,347.0,337.2,341.5,-0.58,"194,863.00","66,541,531.30"
134,2024-07-25,337.5,354.0,337.0,352.0,3.07,"222,739.00","77,525,495.90"
133,2024-07-28,359.0,387.2,359.0,387.2,10.0,"671,424.00","255,583,871.90"
132,2024-07-29,394.9,400.0,374.0,377.0,-2.63,"296,529.00","113,744,206.10"
131,2024-07-30,384.5,384.5,362.0,377.0,0.0,"230,971.00","85,649,042.00"
130,2024-07-31,373.0,384.9,370.1,376.4,-0.16,"287,817.00","109,362,943.20"
129,2024-08-01,383.0,383.0,369.5,369.8,-1.75,"302,530.00","112,890,009.80"
128,2024-08-05,377.1,400.0,377.1,386.0,4.38,"622,697.00","241,206,158.60"
127,2024-08-06,393.0,393.0,372.0,372.1,-3.6,"338,449.00","129,531,986.70"
126,2024-08-07,372.1,380.4,367.0,378.0,1.59,"181,152.00","68,040,499.90"
125,2024-08-08,380.0,384.9,375.0,375.1,-0.77,"134,799.00","50,962,171.50"
124,2024-08-11,379.0,384.9,376.0,383.9,2.35,"303,869.00","115,793,416.40"
123,2024-08-12,383.9,392.5,383.1,392.0,2.11,"283,100.00","110,126,483.80"
122,2024-08-13,394.0,405.0,393.0,400.0,2.04,"357,409.00","142,668,050.90"
121,2024-08-14,402.0,406.0,396.0,402.1,0.53,"259,891.00","104,298,550.20"
120,2024-08-15,405.0,423.1,400.0,419.0,4.2,"511,952.00","213,614,740.50"
119,2024-08-18,427.3,428.4,407.0,410.0,-2.15,"573,837.00","239,581,433.00"
118,2024-08-21,412.0,417.0,406.0,414.9,1.2,"272,796.00","112,194,875.10"
117,2024-08-22,411.0,420.2,410.3,411.0,-0.94,"184,187.00","76,391,676.00"
116,2024-08-25,402.8,415.0,398.2,399.0,-2.92,"280,315.00","112,712,398.50"
115,2024-08-27,397.0,397.0,379.0,382.0,-4.26,"316,327.00","122,150,553.40"
114,2024-08-28,382.0,394.9,378.0,382.5,0.13,"173,834.00","67,225,870.20"
113,2024-08-29,390.0,390.0,374.0,376.4,-1.59,"171,319.00","64,791,396.00"
112,2024-09-01,380.0,384.5,372.6,373.0,-0.9,"129,467.00","48,842,445.00"
111,2024-09-02,373.0,387.0,371.0,385.0,3.22,"150,424.00","57,302,444.70"
110,2024-09-03,390.0,392.0,379.2,385.2,0.05,"108,022.00","41,601,901.10"
109,2024-09-04,392.9,392.9,375.0,376.8,-2.18,"136,516.00","51,779,018.40"
108,2024-09-05,378.0,378.0,368.0,373.0,-1.01,"96,884.00","36,058,306.80"
