S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1500,2018-08-12,730.0,731.0,719.0,720.0,-2.44,6933.00,5023630.00
1499,2018-08-13,715.0,725.0,709.0,725.0,0.69,3961.00,2833236.00
1498,2018-08-14,717.0,728.0,716.0,728.0,0.41,2347.00,1698370.00
1497,2018-08-15,728.0,740.0,720.0,740.0,1.65,4065.00,2959836.00
1496,2018-08-16,750.0,750.0,728.0,731.0,-1.22,9035.00,6656901.00
1495,2018-08-19,719.0,733.0,719.0,728.0,-0.41,2773.00,2023327.00
1494,2018-08-20,727.0,727.0,710.0,713.0,-2.06,11450.00,8185451.00
1493,2018-08-21,715.0,717.0,708.0,715.0,0.28,7405.00,5263476.00
1492,2018-08-22,715.0,728.0,711.0,728.0,1.82,1491.00,1074384.00
1491,2018-08-23,715.0,720.0,711.0,715.0,-1.79,5021.00,3586941.00
1490,2018-08-26,710.0,715.0,708.0,713.0,-0.28,2520.00,1791726.00
1489,2018-08-28,707.0,716.0,707.0,714.0,0.14,2889.00,2060101.00
1488,2018-08-29,708.0,712.0,707.0,710.0,-0.56,8783.00,6217848.00
1487,2018-08-30,708.0,715.0,708.0,711.0,0.14,2448.00,1742592.00
1486,2018-09-02,711.0,720.0,711.0,713.0,0.28,2143.00,1533936.00
1485,2018-09-03,720.0,726.0,718.0,722.0,1.26,6276.00,4531929.00
1484,2018-09-04,723.0,724.0,718.0,719.0,-0.42,4551.00,3276487.00
1483,2018-09-05,720.0,740.0,720.0,739.0,2.78,11436.00,8344577.00
1482,2018-09-06,740.0,740.0,722.0,736.0,-0.41,4442.00,3236898.00
1481,2018-09-09,746.0,746.0,719.0,730.0,-0.82,4156.00,3019128.00
1480,2018-09-10,725.0,725.0,718.0,721.0,-1.23,3398.00,2445762.00
1479,2018-09-11,720.0,730.0,720.0,721.0,0.0,3379.00,2443130.00
1478,2018-09-12,720.0,724.0,720.0,722.0,0.14,3578.00,2581334.00
1477,2018-09-13,725.0,730.0,722.0,725.0,0.42,10232.00,7431615.00
1476,2018-09-16,725.0,727.0,715.0,723.0,-0.28,8871.00,6401494.00
1475,2018-09-17,725.0,725.0,714.0,722.0,-0.14,2868.00,2067203.00
1474,2018-09-18,720.0,735.0,717.0,734.0,1.66,12662.00,9178056.00
1473,2018-09-20,720.0,734.0,720.0,730.0,-0.55,10621.00,7744009.00
1472,2018-09-23,721.0,749.0,720.0,733.0,0.41,16540.00,12087132.00
1471,2018-09-25,730.0,742.0,727.0,740.0,0.95,13809.00,10153077.00
1470,2018-09-26,750.0,750.0,728.0,740.0,0.0,9694.00,7142941.00
1469,2018-09-27,726.0,733.0,726.0,727.0,-1.76,2095.00,1527087.00
1468,2018-09-30,720.0,734.0,716.0,730.0,0.41,7852.00,5713119.00
1467,2018-10-01,730.0,730.0,721.0,725.0,-0.68,3717.00,2697965.00
1466,2018-10-02,725.0,729.0,725.0,725.0,0.0,13001.00,9434898.00
1465,2018-10-03,714.0,725.0,714.0,719.0,-0.83,6634.00,4768868.00
1464,2018-10-04,714.0,723.0,714.0,720.0,0.14,9553.00,6867223.00
1463,2018-10-07,715.0,726.0,712.0,721.0,0.14,9884.00,7084145.00
1462,2018-10-08,715.0,723.0,715.0,723.0,0.28,4048.00,2911464.00
1461,2018-10-09,720.0,721.0,715.0,715.0,-1.11,24208.00,17422964.00
1460,2018-10-10,715.0,720.0,710.0,716.0,0.14,15286.00,10891786.00
1459,2018-10-11,720.0,723.0,717.0,723.0,0.98,8859.00,6378760.00
1458,2018-10-14,723.0,726.0,720.0,720.0,-0.41,7370.00,5334340.00
1457,2018-10-15,720.0,724.0,720.0,720.0,0.0,6569.00,4731636.00
1456,2018-10-21,720.0,720.0,710.0,715.0,-0.69,685.00,491175.00
1455,2018-10-22,712.0,720.0,710.0,720.0,0.7,4008.00,2859250.00
1454,2018-10-23,715.0,720.0,715.0,719.0,-0.14,7432.00,5346841.00
1453,2018-10-24,714.0,727.0,714.0,727.0,1.11,4504.00,3233443.00
1452,2018-10-25,723.0,723.0,719.0,719.0,-1.1,7054.00,5080415.00
1451,2018-10-28,718.0,718.0,711.0,715.0,-0.56,7849.00,5612312.00
1450,2018-10-29,710.0,714.0,707.0,708.0,-0.98,4469.00,3170884.00
1449,2018-10-30,710.0,712.0,704.0,707.0,-0.14,3398.00,2400901.00
1448,2018-10-31,706.0,708.0,700.0,706.0,-0.14,5400.00,3797902.00
1447,2018-11-01,697.0,705.0,697.0,702.0,-0.57,3806.00,2666734.00
1446,2018-11-04,699.0,701.0,692.0,697.0,-0.71,1274.00,884268.00
1445,2018-11-05,700.0,703.0,695.0,703.0,0.86,1478.00,1034453.00
1444,2018-11-06,703.0,708.0,697.0,700.0,-0.43,220.00,154180.00
1443,2018-11-11,700.0,700.0,690.0,691.0,-1.29,1321.00,920913.00
1442,2018-11-12,690.0,700.0,680.0,680.0,-1.59,3167.00,2176804.00
1441,2018-11-13,690.0,699.0,680.0,691.0,1.62,4371.00,3020494.00
1440,2018-11-14,700.0,700.0,688.0,688.0,-0.43,2693.00,1858474.00
1439,2018-11-15,690.0,700.0,682.0,683.0,-0.73,2073.00,1425993.00
1438,2018-11-18,685.0,688.0,676.0,677.0,-0.88,6165.00,4188120.00
1437,2018-11-19,673.0,677.0,662.0,663.0,-2.07,4618.00,3083820.00
1436,2018-11-20,675.0,675.0,663.0,665.0,0.3,4291.00,2862963.00
1435,2018-11-21,656.0,656.0,645.0,654.0,-1.65,7439.00,4842144.00
1434,2018-11-22,654.0,665.0,651.0,652.0,-0.31,2238.00,1460420.00
1433,2018-11-25,665.0,665.0,640.0,640.0,-1.84,3299.00,2124489.00
1432,2018-11-26,633.0,653.0,630.0,640.0,0.0,5038.00,3207142.00
1431,2018-11-27,640.0,645.0,640.0,642.0,0.31,5562.00,3567513.00
1430,2018-11-28,642.0,642.0,636.0,636.0,-0.93,2745.00,1752442.00
1429,2018-11-29,636.0,639.0,630.0,639.0,0.47,3169.00,2007196.00
1428,2018-12-02,628.0,628.0,619.0,621.0,-2.82,8225.00,5130400.00
1427,2018-12-03,621.0,629.0,620.0,622.0,0.16,13705.00,8529200.00
1426,2018-12-04,622.0,625.0,618.0,625.0,0.48,9402.00,5849095.00
1425,2018-12-05,618.0,620.0,612.0,613.0,-1.92,2295.00,1414412.00
1424,2018-12-06,601.0,602.0,590.0,600.0,-2.12,10563.00,6314268.00
1423,2018-12-09,600.0,610.0,596.0,610.0,1.67,12745.00,7647040.00
1422,2018-12-10,604.0,614.0,600.0,608.0,-0.33,8775.00,5321216.00
1421,2018-12-11,614.0,614.0,608.0,608.0,0.0,3389.00,2069488.00
1420,2018-12-12,620.0,652.0,620.0,649.0,6.74,17051.00,11028292.00
1419,2018-12-13,650.0,655.0,649.0,651.0,0.31,8373.00,5449223.00
1418,2018-12-16,664.0,665.0,657.0,659.0,1.23,6036.00,4000544.00
1417,2018-12-17,650.0,664.0,650.0,660.0,0.15,6831.00,4481893.00
1416,2018-12-18,655.0,662.0,654.0,659.0,-0.15,7178.00,4718010.00
1415,2018-12-19,657.0,660.0,651.0,654.0,-0.76,5906.00,3880933.00
1414,2018-12-20,665.0,665.0,659.0,663.0,1.38,6466.00,4277013.00
1413,2018-12-23,670.0,676.0,665.0,671.0,1.21,6000.00,4021713.00
1412,2018-12-24,683.0,684.0,667.0,673.0,0.3,4960.00,3347254.00
1411,2018-12-25,671.0,673.0,669.0,671.0,-0.3,4397.00,2948354.00
1410,2018-12-26,673.0,681.0,673.0,680.0,1.34,5359.00,3637048.00
1409,2018-12-27,693.0,704.0,675.0,680.0,0.0,10444.00,7233129.00
1408,2018-12-30,692.0,692.0,677.0,680.0,0.0,6113.00,4153386.00
1407,2018-12-31,680.0,686.0,673.0,685.0,0.74,6694.00,4562582.00
1406,2019-01-01,695.0,695.0,678.0,685.0,0.0,9459.00,6478508.00
1405,2019-01-02,690.0,694.0,675.0,676.0,-1.31,33406.00,22846344.00
1404,2019-01-03,555.0,559.0,541.0,555.0,-1.33,7208.00,3995727.00
1403,2019-01-06,552.0,556.0,545.0,545.0,-1.8,6554.00,3588010.00
1402,2019-01-07,546.0,550.0,541.0,550.0,0.92,3644.00,1992492.00
1401,2019-01-08,549.0,549.0,546.0,549.0,-0.18,6674.00,3654527.00
1400,2019-01-09,550.0,550.0,545.0,545.0,-0.73,4984.00,2728837.00
1399,2019-01-10,538.0,547.0,538.0,545.0,0.0,1691.00,920727.00
1398,2019-01-13,545.0,546.0,540.0,540.0,-0.92,5280.00,2857849.00
1397,2019-01-14,543.0,550.0,542.0,544.0,0.74,3183.00,1731331.00
1396,2019-01-15,544.0,548.0,541.0,545.0,0.18,3616.00,1971954.00
1395,2019-01-16,543.0,543.0,538.0,541.0,-0.73,7373.00,3983031.00
1394,2019-01-17,536.0,541.0,536.0,540.0,-0.18,3441.00,1858083.00
1393,2019-01-20,535.0,540.0,535.0,535.0,-0.93,831.00,444795.00
1392,2019-01-21,535.0,535.0,530.0,532.0,-0.56,3307.00,1758557.00
1391,2019-01-22,532.0,534.0,531.0,532.0,0.0,5357.00,2852286.00
1390,2019-01-23,532.0,537.0,532.0,537.0,0.94,4624.00,2474192.00
