S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1500,2017-06-07,405.0,411.0,388.0,393.0,0.0,18953.00,7444355.00
1499,2017-06-08,393.0,393.0,385.0,393.0,0.0,7267.00,2817075.00
1498,2017-06-11,393.0,390.0,378.0,384.0,0.0,15742.00,6006556.00
1497,2017-06-12,384.0,387.0,380.0,383.0,0.0,5281.00,2014841.00
1496,2017-06-13,383.0,386.0,379.0,379.0,0.0,16268.00,6200755.00
1495,2017-06-14,379.0,382.0,375.0,380.0,0.0,13276.00,5019911.00
1494,2017-06-15,380.0,385.0,378.0,384.0,0.0,16977.00,6471461.00
1493,2017-06-18,384.0,386.0,382.0,384.0,0.0,1961.00,752013.00
1492,2017-06-19,384.0,382.0,375.0,380.0,0.0,2734.00,1034373.00
1491,2017-06-20,380.0,381.0,374.0,380.0,0.0,5604.00,2118621.00
1490,2017-06-21,380.0,385.0,375.0,378.0,0.0,11254.00,4259633.00
1489,2017-06-22,378.0,385.0,375.0,376.0,0.0,42545.00,16005654.00
1488,2017-06-25,376.0,382.0,376.0,381.0,0.0,8534.00,3233256.00
1487,2017-06-27,381.0,382.0,377.0,377.0,0.0,14329.00,5424568.00
1486,2017-06-28,377.0,385.0,371.0,381.0,0.0,7208.00,2723489.00
1485,2017-07-02,381.0,383.0,373.0,373.0,0.0,15227.00,5730422.00
1484,2017-07-03,373.0,380.0,373.0,378.0,0.0,17681.00,6619651.00
1483,2017-07-04,378.0,381.0,373.0,375.0,0.0,10764.00,4067023.00
1482,2017-07-05,375.0,382.0,373.0,382.0,0.0,11461.00,4350930.00
1481,2017-07-06,382.0,390.0,385.0,388.0,0.0,10874.00,4200017.00
1480,2017-07-09,388.0,400.0,380.0,384.0,0.0,34618.00,13518509.00
1479,2017-07-10,384.0,388.0,379.0,385.0,0.0,5591.00,2141705.00
1478,2017-07-11,385.0,389.0,382.0,385.0,0.0,7540.00,2906117.00
1477,2017-07-12,385.0,392.0,380.0,389.0,0.0,9254.00,3589664.00
1476,2017-07-13,389.0,392.0,383.0,388.0,0.0,7137.00,2760208.00
1475,2017-07-16,388.0,394.0,383.0,385.0,0.0,11253.00,4332279.00
1474,2017-07-17,385.0,398.0,388.0,395.0,0.0,41946.00,16377518.00
1473,2017-07-18,395.0,405.0,398.0,405.0,0.0,29352.00,11761194.00
1472,2017-07-19,405.0,408.0,400.0,404.0,0.0,24459.00,9892224.00
1471,2017-07-20,404.0,405.0,400.0,404.0,0.0,17511.00,7051653.00
1470,2017-07-23,404.0,404.0,399.0,400.0,0.0,12718.00,5102630.00
1469,2017-07-24,400.0,400.0,391.0,391.0,0.0,17510.00,6891132.00
1468,2017-07-25,391.0,402.0,386.0,390.0,0.0,46768.00,18384524.00
1467,2017-07-26,390.0,408.0,393.0,398.0,0.0,23003.00,9188889.00
1466,2017-07-27,398.0,404.0,396.0,400.0,0.0,14679.00,5868440.00
1465,2017-07-30,400.0,407.0,399.0,402.0,0.0,22865.00,9226068.00
1464,2017-07-31,402.0,410.0,400.0,410.0,0.0,28280.00,11474652.00
1463,2017-08-01,410.0,410.0,402.0,407.0,0.0,16804.00,6811746.00
1462,2017-08-02,407.0,409.0,400.0,404.0,0.0,46034.00,18647388.00
1461,2017-08-03,404.0,406.0,402.0,402.0,0.0,4146.00,1673288.00
1460,2017-08-06,402.0,405.0,396.0,400.0,0.0,14837.00,5950830.00
1459,2017-08-07,400.0,408.0,397.0,398.0,0.0,13065.00,5232923.00
1458,2017-08-09,398.0,403.0,397.0,399.0,0.0,18232.00,7298175.00
1457,2017-08-10,399.0,401.0,393.0,398.0,0.0,21635.00,8596844.00
1456,2017-08-13,398.0,400.0,390.0,393.0,0.0,29444.00,11581113.00
1455,2017-08-15,393.0,391.0,385.0,387.0,0.0,55629.00,21486996.00
1454,2017-08-16,387.0,390.0,385.0,388.0,0.0,29498.00,11440856.00
1453,2017-08-17,388.0,389.0,386.0,387.0,0.0,23358.00,9041792.00
1452,2017-08-20,387.0,391.0,384.0,385.0,0.0,22798.00,8820530.00
1451,2017-08-21,385.0,385.0,381.0,383.0,0.0,8368.00,3211540.00
1450,2017-08-22,383.0,388.0,382.0,385.0,0.0,12297.00,4731125.00
1449,2017-08-23,385.0,388.0,383.0,386.0,0.0,10756.00,4146998.00
1448,2017-08-24,386.0,389.0,385.0,387.0,0.0,14901.00,5763376.00
1447,2017-08-27,387.0,388.0,384.0,385.0,0.0,13233.00,5101651.00
1446,2017-08-28,385.0,390.0,383.0,384.0,0.0,11618.00,4463013.00
1445,2017-08-30,384.0,388.0,380.0,380.0,0.0,17709.00,6750749.00
1444,2017-08-31,380.0,380.0,375.0,378.0,0.0,18475.00,6962953.00
1443,2017-09-04,378.0,382.0,370.0,371.0,0.0,18881.00,7057968.00
1442,2017-09-06,371.0,382.0,371.0,376.0,0.0,11757.00,4414089.00
1441,2017-09-07,376.0,379.0,370.0,374.0,0.0,19743.00,7351618.00
1440,2017-09-10,374.0,375.0,370.0,371.0,0.0,14320.00,5334363.00
1439,2017-09-11,371.0,373.0,368.0,372.0,0.0,21343.00,7911153.00
1438,2017-09-12,372.0,372.0,365.0,369.0,0.0,29850.00,10975956.00
1437,2017-09-13,369.0,370.0,360.0,362.0,0.0,35695.00,13017830.00
1436,2017-09-14,362.0,377.0,358.0,377.0,0.0,22204.00,8199510.00
1435,2017-09-17,377.0,388.0,371.0,387.0,0.0,26939.00,10300339.00
1434,2017-09-18,387.0,389.0,378.0,383.0,0.0,11944.00,4574703.00
1433,2017-09-20,383.0,390.0,375.0,383.0,0.0,11304.00,4266575.00
1432,2017-09-24,383.0,383.0,376.0,376.0,0.0,11022.00,4177037.00
1431,2017-09-25,376.0,381.0,376.0,379.0,0.0,4935.00,1874821.00
1430,2017-09-26,379.0,389.0,379.0,381.0,0.0,8700.00,3317850.00
1429,2017-10-03,381.0,382.0,375.0,375.0,0.0,1484.00,561399.00
1428,2017-10-04,375.0,380.0,373.0,373.0,0.0,10597.00,3986998.00
1427,2017-10-08,373.0,375.0,366.0,375.0,0.0,11219.00,4131209.00
1426,2017-10-09,375.0,385.0,370.0,375.0,0.0,7920.00,2980370.00
1425,2017-10-10,375.0,379.0,371.0,375.0,0.0,8484.00,3181848.00
1424,2017-10-11,375.0,378.0,374.0,375.0,0.0,14881.00,5584579.00
1423,2017-10-12,375.0,381.0,373.0,375.0,0.0,6316.00,2373989.00
1422,2017-10-15,375.0,380.0,368.0,379.0,0.0,15071.00,5655321.00
1421,2017-10-16,379.0,395.0,380.0,395.0,0.0,24710.00,9498174.00
1420,2017-10-17,395.0,395.0,383.0,386.0,0.0,13494.00,5239523.00
1419,2017-10-18,386.0,390.0,381.0,387.0,0.0,8640.00,3326422.00
1418,2017-10-22,387.0,399.0,387.0,392.0,0.0,13174.00,5151543.00
1417,2017-10-23,392.0,392.0,388.0,391.0,0.0,11767.00,4593531.00
1416,2017-10-24,391.0,394.0,387.0,389.0,0.0,67146.00,26127722.00
1415,2017-10-25,354.0,349.0,340.0,345.0,0.0,23858.00,8211314.00
1414,2017-10-29,345.0,346.0,338.0,340.0,0.0,8023.00,2729719.00
1413,2017-10-30,340.0,345.0,336.0,336.0,0.0,7189.00,2426978.00
1412,2017-10-31,336.0,338.0,330.0,330.0,0.0,18935.00,6299530.00
1411,2017-11-01,330.0,333.0,327.0,329.0,0.0,11955.00,3933751.00
1410,2017-11-02,329.0,332.0,327.0,330.0,0.0,12852.00,4239649.00
1409,2017-11-05,330.0,328.0,323.0,325.0,0.0,11802.00,3827918.00
1408,2017-11-06,325.0,328.0,322.0,324.0,0.0,6614.00,2145992.00
1407,2017-11-07,324.0,330.0,320.0,321.0,0.0,25305.00,8117156.00
1406,2017-11-08,321.0,320.0,314.0,316.0,0.0,6594.00,2085207.00
1405,2017-11-09,316.0,316.0,310.0,314.0,0.0,16367.00,5117486.00
1404,2017-11-12,314.0,320.0,313.0,317.0,0.0,11164.00,3513584.00
1403,2017-11-13,317.0,325.0,314.0,319.0,0.0,10616.00,3380183.00
1402,2017-11-14,319.0,329.0,320.0,326.0,0.0,16468.00,5354402.00
1401,2017-11-15,326.0,328.0,321.0,322.0,0.0,8892.00,2875503.00
