S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1000,2020-12-01,1071.00,1178.00,1050.00,1175.00,9.71,394837.00,443650399.00
999,2020-12-02,1200.00,1292.00,1200.00,1292.00,9.96,317622.00,407173587.00
998,2020-12-03,1292.00,1387.00,1252.00,1285.00,-0.54,326989.00,421838899.00
997,2020-12-06,1285.00,1285.00,1157.00,1157.00,-9.96,263094.00,321097250.00
996,2020-12-07,1167.00,1220.00,1111.00,1219.00,5.36,288231.00,337433718.00
995,2020-12-08,1235.00,1309.00,1185.00,1206.00,-1.07,213285.00,258590592.00
994,2020-12-09,1210.00,1210.00,1160.00,1170.00,-2.99,106399.00,124434871.00
993,2020-12-10,1152.00,1201.00,1151.00,1180.00,0.85,113017.00,133006624.00
992,2020-12-13,1180.00,1201.00,1157.00,1189.00,0.76,121756.00,143541990.00
991,2020-12-14,1210.00,1225.00,1189.00,1209.00,1.68,147734.00,178515194.00
990,2020-12-15,1210.00,1240.00,1180.00,1180.00,-2.4,137886.00,165242211.00
989,2020-12-16,1199.00,1199.00,1159.00,1171.00,-0.76,56365.00,66014410.00
988,2020-12-17,1171.00,1183.00,1146.00,1150.00,-1.79,68442.00,79203151.00
987,2020-12-20,1207.00,1207.00,1043.00,1050.00,-8.7,159793.00,173718915.00
986,2020-12-21,1029.00,1105.00,1000.00,1087.00,3.52,202472.00,213241439.00
985,2020-12-22,1108.00,1170.00,1088.00,1169.00,7.54,153763.00,173250924.00
984,2020-12-23,1200.00,1210.00,1140.00,1150.00,-1.63,82072.00,95405244.00
983,2020-12-24,1150.00,1150.00,1099.00,1111.00,-3.39,77900.00,86684754.00
982,2020-12-27,1133.00,1133.00,1079.00,1083.00,-2.52,54315.00,59184871.00
981,2020-12-28,1080.00,1088.00,1067.00,1083.00,0.0,46465.00,50171573.00
980,2020-12-29,1090.00,1140.00,1083.00,1110.00,2.49,80924.00,90065087.00
979,2020-12-30,1115.00,1200.00,1105.00,1182.00,6.49,176259.00,202174473.00
978,2020-12-31,1175.00,1240.00,1175.00,1208.00,2.2,234202.00,285112694.00
977,2021-01-03,1235.00,1304.00,1225.00,1302.00,7.78,354427.00,450791101.00
976,2021-01-04,1320.00,1346.00,1270.00,1291.00,-0.84,288434.00,377815215.00
975,2021-01-05,1250.00,1306.00,1250.00,1275.00,-1.24,124736.00,160486716.00
974,2021-01-06,1300.00,1300.00,1277.00,1288.00,1.02,123044.00,158770272.00
973,2021-01-07,1282.00,1295.00,1263.00,1268.00,-1.55,97202.00,124352154.00
972,2021-01-10,1280.00,1285.00,1239.00,1255.00,-1.03,131630.00,165411528.00
971,2021-01-11,1251.00,1269.00,1233.00,1238.00,-1.35,96723.00,120898722.00
